hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,0,0,2017,July,31,31,1,0,2,0.0,0,SC,United States,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,69.7,0,0,Check-Out,2017-08-01
Resort Hotel,0,77,2015,September,40,28,2,5,2,0.0,0,HB,Poland,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,78.1,0,2,Check-Out,2015-10-05
City Hotel,1,221,2017,July,26,1,2,1,2,0.0,0,BB,Belgium,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,107.1,0,0,Canceled,2017-04-13
City Hotel,1,142,2016,April,17,22,2,3,2,0.0,0,BB,Poland,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,103.0,0,0,Canceled,2016-01-18
Resort Hotel,0,73,2016,November,49,27,2,0,2,0.0,0,HB,Russian Federation,Direct,Direct,0,0,0,F,F,3,No Deposit,0,Transient,105.5,1,1,Check-Out,2016-11-29
City Hotel,1,25,2017,April,17,26,0,1,1,0.0,0,BB,China,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,157.5,0,0,Canceled,2017-04-05
City Hotel,1,99,2016,February,8,19,0,1,2,0.0,0,BB,Italy,Corporate,Corporate,0,1,0,A,A,0,No Deposit,0,Transient-Party,80.0,0,0,Canceled,2015-12-22
City Hotel,1,60,2017,July,28,15,1,1,2,0.0,0,BB,Sweden,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,155.0,0,1,Canceled,2017-05-17
City Hotel,0,92,2016,April,18,28,0,1,2,0.0,0,BB,Brazil,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,105.3,1,1,Check-Out,2016-04-29
City Hotel,0,2,2016,November,47,18,0,2,2,0.0,0,BB,France,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,111.0,0,1,Check-Out,2016-11-20
City Hotel,0,159,2015,December,53,29,0,4,2,0.0,0,BB,United Kingdom,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,111,Transient-Party,70.5,0,0,Check-Out,2016-01-02
City Hotel,0,69,2015,October,44,25,2,1,2,0.0,0,BB,United Kingdom,Groups,TA/TO,0,0,0,A,D,0,No Deposit,58,Transient-Party,85.67,0,0,Check-Out,2015-10-28
Resort Hotel,0,208,2016,October,43,22,2,5,2,0.0,0,BB,United Kingdom,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,49.5,0,0,Check-Out,2016-10-29
Resort Hotel,0,195,2017,March,10,5,4,6,2,0.0,0,BB,United Kingdom,Groups,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient-Party,71.48,0,0,Check-Out,2017-03-15
City Hotel,0,4,2016,June,27,26,2,0,1,0.0,0,SC,Netherlands,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,113.0,0,1,Check-Out,2016-06-28
City Hotel,0,10,2016,June,27,27,1,0,1,0.0,0,BB,France,Corporate,Corporate,1,0,9,A,A,0,No Deposit,0,Transient,65.0,0,1,Check-Out,2016-06-28
Resort Hotel,0,25,2016,November,49,27,2,1,2,0.0,0,HB,Spain,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient,78.0,0,0,Check-Out,2016-11-30
City Hotel,0,0,2015,September,40,28,1,0,1,0.0,0,BB,France,Corporate,Corporate,0,0,0,A,A,0,No Deposit,0,Transient,40.0,0,0,Check-Out,2015-09-29
City Hotel,0,3,2016,April,18,28,0,1,1,0.0,0,SC,France,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,119.0,0,0,Check-Out,2016-04-29
Resort Hotel,0,251,2017,June,26,26,1,3,2,0.0,0,HB,CN,Groups,TA/TO,0,0,0,D,C,0,No Deposit,0,Transient-Party,108.0,0,0,Check-Out,2017-06-30
City Hotel,0,83,2015,September,40,30,0,1,2,0.0,0,HB,Portugal,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,77,Transient-Party,112.2,0,0,Check-Out,2015-10-01
City Hotel,1,56,2017,March,12,21,0,3,2,0.0,0,BB,Italy,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,85.0,0,0,Canceled,2017-01-24
City Hotel,1,22,2016,August,35,21,2,0,2,0.0,0,SC,Belgium,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,139.0,0,1,Canceled,2016-08-01
City Hotel,1,14,2017,July,29,20,1,3,1,0.0,0,BB,United Arab Emirates,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,139.5,0,2,Canceled,2017-07-09
City Hotel,1,105,2016,April,15,6,0,1,2,0.0,0,BB,Italy,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,75.0,0,0,Canceled,2016-01-18
City Hotel,0,33,2016,March,10,5,4,6,2,0.0,0,BB,Italy,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,64.46,0,1,Check-Out,2016-03-15
Resort Hotel,0,194,2015,July,29,14,2,7,2,0.0,0,BB,Ireland,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,156.22,0,1,Check-Out,2015-07-23
City Hotel,0,4,2017,April,14,5,0,1,1,0.0,0,SC,France,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,150.0,0,1,Check-Out,2017-04-06
City Hotel,0,174,2017,March,10,5,2,2,2,0.0,0,BB,Portugal,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,90.0,0,1,Check-Out,2017-03-09
City Hotel,0,80,2016,November,46,10,0,3,2,0.0,0,BB,Italy,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,120.9,0,2,Check-Out,2016-11-13
Resort Hotel,1,31,2016,April,18,29,1,2,2,0.0,0,HB,Spain,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,108.67,0,0,Canceled,2016-04-06
City Hotel,1,77,2015,November,48,25,0,3,1,0.0,0,BB,United Kingdom,Direct,Direct,0,0,0,F,F,0,No Deposit,0,Transient,127.5,0,0,Canceled,2015-09-17
City Hotel,0,221,2017,May,19,11,1,3,2,0.0,0,BB,Portugal,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,138.6,0,1,Check-Out,2017-05-15
City Hotel,0,44,2016,July,28,9,0,1,2,1.0,1,BB,Romania,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,0,Transient,131.4,0,1,Check-Out,2016-07-10
Resort Hotel,0,15,2016,July,30,17,2,4,3,0.0,0,Undefined,United Kingdom,Direct,Direct,0,0,0,A,C,0,No Deposit,0,Transient,295.0,0,1,Check-Out,2016-07-23
City Hotel,1,351,2015,October,40,3,2,2,2,0.0,0,BB,Germany,Groups,TA/TO,0,1,0,A,A,0,No Deposit,0,Transient-Party,62.0,0,0,Canceled,2015-07-06
City Hotel,0,5,2016,March,12,19,2,1,2,0.0,0,BB,United States,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,93.33,0,0,Check-Out,2016-03-22
City Hotel,1,56,2017,March,12,21,0,3,2,0.0,0,BB,France,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,85.0,0,0,Canceled,2017-01-24
City Hotel,0,0,2016,February,8,18,0,1,2,0.0,0,SC,Germany,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,79.0,0,0,Check-Out,2016-02-19
City Hotel,0,191,2017,July,29,17,1,3,3,0.0,0,BB,Sweden,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,147.9,0,1,Check-Out,2017-07-21
City Hotel,0,32,2017,July,29,16,1,0,2,2.0,0,BB,Norway,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,0,Transient,295.0,0,1,Check-Out,2017-07-17
City Hotel,0,195,2016,August,33,13,0,1,2,2.0,0,BB,Spain,Direct,Direct,0,0,0,E,F,0,No Deposit,0,Transient,165.9,0,0,Check-Out,2016-08-14
Resort Hotel,1,22,2016,May,20,13,2,2,2,1.0,0,BB,Germany,Direct,Direct,0,0,0,F,F,0,No Deposit,0,Transient,130.0,0,0,No-Show,2016-05-13
City Hotel,0,30,2017,March,10,6,1,3,2,0.0,0,BB,Switzerland,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,73.37,0,1,Check-Out,2017-03-10
City Hotel,1,405,2016,August,33,10,0,2,2,0.0,0,BB,France,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,65.0,0,0,Canceled,2015-12-09
City Hotel,0,67,2015,December,49,5,2,1,1,0.0,0,SC,Portugal,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,95.4,0,1,Check-Out,2015-12-08
Resort Hotel,1,237,2017,May,18,3,0,1,2,0.0,0,HB,Russian Federation,Online TA,TA/TO,0,0,0,E,E,2,No Deposit,0,Transient-Party,109.8,0,0,Canceled,2016-12-29
City Hotel,0,0,2016,June,26,20,1,1,1,0.0,0,BB,Italy,Direct,Direct,0,0,0,A,D,1,No Deposit,0,Transient,123.25,0,0,Check-Out,2016-06-22
City Hotel,0,61,2017,April,16,17,1,3,2,2.0,0,BB,United Kingdom,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,0,Transient,230.0,0,0,Check-Out,2017-04-21
Resort Hotel,0,164,2017,May,22,28,2,2,2,0.0,0,BB,Belgium,Direct,Direct,1,0,4,D,D,0,No Deposit,0,Transient,90.0,1,1,Check-Out,2017-06-01
City Hotel,1,19,2017,May,19,13,0,1,2,0.0,0,SC,Spain,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,180.0,0,1,Canceled,2017-05-02
City Hotel,1,87,2016,October,45,30,2,0,2,0.0,0,BB,Portugal,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,90.9,0,1,Canceled,2016-09-30
City Hotel,0,2,2016,January,4,23,0,1,2,0.0,0,BB,Romania,Direct,Direct,0,0,0,A,A,0,No Deposit,0,Transient,96.0,0,1,Check-Out,2016-01-24
Resort Hotel,1,292,2017,June,24,14,8,19,1,0.0,0,BB,Italy,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,0,Contract,49.95,0,0,Canceled,2017-06-14
Resort Hotel,0,40,2016,December,49,1,2,5,1,0.0,0,Undefined,Spain,Offline TA/TO,TA/TO,0,0,0,C,C,0,No Deposit,0,Transient,48.0,0,0,Check-Out,2016-12-08
City Hotel,0,0,2015,August,35,28,0,1,1,0.0,0,BB,United Kingdom,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient,96.0,0,2,Check-Out,2015-08-29
Resort Hotel,0,120,2017,May,20,18,2,5,2,0.0,0,BB,Germany,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,52.85,0,1,Check-Out,2017-05-25
City Hotel,1,171,2016,August,35,22,1,1,3,0.0,0,BB,Israel,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,137.7,0,0,Canceled,2016-03-04
Resort Hotel,1,43,2017,April,15,14,0,2,2,0.0,0,BB,Spain,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,105.0,0,1,Canceled,2017-03-13
City Hotel,1,33,2017,January,1,6,2,2,1,0.0,0,SC,Portugal,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,74.8,0,1,Canceled,2016-12-22
City Hotel,0,9,2017,July,27,3,1,0,2,0.0,0,BB,South Africa,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,140.0,0,1,Check-Out,2017-07-04
City Hotel,1,37,2017,February,6,9,2,3,2,0.0,0,SC,France,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,74.8,0,1,Canceled,2017-01-07
Resort Hotel,0,2,2017,January,3,19,0,1,1,0.0,0,BB,France,Online TA,Corporate,0,0,2,A,D,0,No Deposit,0,Transient,43.0,0,1,Check-Out,2017-01-20
City Hotel,0,70,2017,April,17,25,0,4,2,0.0,0,BB,Belgium,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,162.0,0,3,Check-Out,2017-04-29
City Hotel,0,143,2016,March,13,25,1,2,2,0.0,0,BB,Italy,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,59.5,0,0,Check-Out,2016-03-28
City Hotel,0,21,2016,November,47,19,2,2,2,2.0,0,BB,Belgium,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,0,Transient,147.9,0,2,Check-Out,2016-11-23
City Hotel,1,355,2015,October,41,7,0,2,2,0.0,0,BB,United Kingdom,Groups,TA/TO,0,1,0,A,A,0,Non Refund,0,Transient-Party,62.0,0,0,Canceled,2015-07-02
City Hotel,1,102,2015,October,42,16,0,2,2,0.0,0,HB,France,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient-Party,101.5,0,0,Canceled,2015-07-06
Resort Hotel,0,31,2017,April,17,23,2,4,2,0.0,0,HB,Italy,Groups,TA/TO,0,0,0,A,H,0,No Deposit,0,Transient-Party,93.0,0,0,Check-Out,2017-04-29
City Hotel,0,58,2016,January,5,27,0,2,1,0.0,0,BB,Germany,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient-Party,81.0,0,0,Check-Out,2016-01-29
City Hotel,1,41,2017,January,4,28,1,1,2,0.0,0,SC,China,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,71.55,0,1,Canceled,2016-12-28
City Hotel,0,2,2016,August,32,2,0,1,2,0.0,0,BB,Netherlands,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,121.0,0,2,Check-Out,2016-08-03
Resort Hotel,1,93,2016,January,2,6,2,6,2,0.0,0,BB,Germany,Direct,Direct,0,0,0,E,E,0,No Deposit,0,Transient,47.6,0,1,Canceled,2015-11-12
Resort Hotel,0,14,2016,January,3,12,0,4,2,0.0,0,HB,Finland,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,74.8,0,1,Check-Out,2016-01-16
City Hotel,0,26,2017,May,20,17,0,1,1,0.0,0,BB,Spain,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient-Party,130.0,0,0,Check-Out,2017-05-18
City Hotel,0,68,2016,April,16,11,1,2,2,1.0,0,BB,Italy,Offline TA/TO,TA/TO,0,0,0,A,D,1,No Deposit,0,Transient-Party,90.0,0,2,Check-Out,2016-04-14
Resort Hotel,0,8,2015,October,42,11,2,5,2,0.0,0,BB,France,Direct,Direct,0,0,0,F,F,0,No Deposit,0,Transient,91.0,1,1,Check-Out,2015-10-18
City Hotel,1,36,2017,May,21,26,1,2,2,0.0,0,BB,United Kingdom,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient,136.0,0,0,Canceled,2017-04-21
City Hotel,0,154,2016,June,27,29,1,4,2,0.0,0,BB,Italy,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,72.25,0,1,Check-Out,2016-07-04
City Hotel,1,96,2017,May,19,7,2,1,2,0.0,0,BB,Philippines,Direct,Direct,0,0,0,F,F,0,No Deposit,0,Transient,225.0,0,0,Canceled,2017-02-01
City Hotel,1,19,2017,July,28,15,0,1,2,0.0,0,HB,France,Direct,Direct,0,0,0,A,A,1,No Deposit,0,Transient,220.6,0,2,Canceled,2017-07-11
City Hotel,1,13,2017,July,28,9,2,1,2,0.0,0,SC,United Kingdom,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,106.67,0,0,Canceled,2017-06-28
City Hotel,1,134,2017,August,35,31,0,2,2,1.0,0,BB,Saudi Arabia,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,0,Transient,242.5,0,1,Canceled,2017-05-21
Resort Hotel,0,0,2015,November,46,12,0,1,1,0.0,0,BB,France,Corporate,Corporate,1,1,2,A,F,0,No Deposit,0,Transient,35.0,0,0,Check-Out,2015-11-13
City Hotel,0,7,2016,July,29,11,1,0,1,0.0,0,BB,United Kingdom,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,145.0,0,1,Check-Out,2016-07-12
Resort Hotel,0,20,2017,June,26,25,2,1,1,0.0,0,BB,Spain,Direct,Direct,0,0,0,A,A,0,No Deposit,0,Transient,145.0,0,1,Check-Out,2017-06-28
City Hotel,1,23,2016,February,7,12,1,2,2,0.0,0,BB,Netherlands,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,72.8,0,0,Canceled,2016-01-24
Resort Hotel,0,0,2016,February,9,22,1,3,1,0.0,0,BB,France,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,34.4,0,0,Check-Out,2016-02-26
City Hotel,0,110,2017,June,23,4,2,4,2,0.0,0,BB,Ireland,Online TA,TA/TO,0,0,0,D,D,2,No Deposit,0,Transient,153.0,0,1,Check-Out,2017-06-10
City Hotel,1,162,2017,August,33,19,1,1,2,0.0,0,BB,Spain,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,140.0,0,0,Canceled,2017-03-21
City Hotel,0,163,2016,October,41,2,2,3,2,0.0,0,BB,United Kingdom,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient-Party,80.75,0,0,Check-Out,2016-10-07
Resort Hotel,1,115,2017,March,10,9,0,3,2,0.0,0,BB,France,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,65.0,0,1,Canceled,2016-11-14
City Hotel,1,0,2015,September,39,26,2,1,2,0.0,0,BB,Germany,Online TA,TA/TO,1,0,0,D,D,0,No Deposit,0,Transient,180.0,0,2,No-Show,2015-09-26
City Hotel,1,267,2016,March,14,31,0,2,2,0.0,0,BB,United Kingdom,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,62.0,0,0,Canceled,2015-10-21
City Hotel,1,140,2015,December,53,29,0,5,2,0.0,0,BB,Germany,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,70.0,0,0,Canceled,2015-10-19
City Hotel,0,2,2016,March,11,7,1,1,1,0.0,0,BB,Spain,Direct,Direct,0,0,0,A,A,0,No Deposit,0,Transient-Party,90.0,0,1,Check-Out,2016-03-09
City Hotel,1,276,2016,November,49,28,1,2,1,0.0,0,BB,United Kingdom,Corporate,Corporate,0,0,0,E,E,0,Non Refund,0,Transient-Party,106.0,0,0,Canceled,2016-08-29
Resort Hotel,0,197,2016,May,22,25,4,10,2,0.0,0,BB,Switzerland,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,71.96,1,1,Check-Out,2016-06-08
Resort Hotel,0,153,2017,August,35,28,2,5,2,0.0,0,HB,United Kingdom,Direct,Direct,0,0,0,D,D,0,No Deposit,0,Transient,204.93,0,3,Check-Out,2017-09-04
Resort Hotel,0,4,2016,October,44,24,1,3,2,0.0,0,BB,Spain,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,46.0,0,1,Check-Out,2016-10-28
City Hotel,0,346,2016,September,38,13,0,2,2,0.0,0,HB,Spain,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,115.0,0,1,Check-Out,2016-09-15
City Hotel,0,6,2017,June,25,23,0,2,2,0.0,0,SC,Portugal,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,169.0,0,2,Check-Out,2017-06-25
City Hotel,1,67,2017,February,7,12,2,0,2,0.0,0,BB,France,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,80.0,0,0,Canceled,2016-12-07
City Hotel,1,49,2017,June,24,12,1,3,2,0.0,1,BB,United Kingdom,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,89.1,0,0,Canceled,2017-06-07
Resort Hotel,1,122,2015,November,47,20,0,2,2,0.0,0,BB,Portugal,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,32.4,0,2,Canceled,2015-10-08
City Hotel,0,4,2015,September,39,22,0,3,1,0.0,0,BB,United Kingdom,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Contract,111.2,0,1,Check-Out,2015-09-25
City Hotel,1,134,2015,December,49,4,2,2,2,0.0,0,BB,Italy,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,91,Transient,65.0,0,0,Canceled,2015-10-22
City Hotel,0,1,2017,February,9,27,1,0,1,0.0,0,BB,Spain,Direct,Direct,0,0,0,A,A,2,No Deposit,0,Transient,80.0,0,0,Check-Out,2017-02-28
City Hotel,0,118,2016,June,24,6,1,2,1,0.0,0,BB,France,Offline TA/TO,Corporate,0,0,0,A,A,0,No Deposit,0,Transient-Party,110.0,0,0,Check-Out,2016-06-09
City Hotel,0,19,2016,May,19,2,1,2,2,0.0,0,BB,"Bolivia, Plurinational State of",Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,130.0,0,0,Check-Out,2016-05-05
City Hotel,1,19,2017,March,12,19,2,0,2,0.0,0,BB,Finland,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,118.0,0,0,Canceled,2017-03-10
City Hotel,0,448,2017,June,24,17,2,1,2,0.0,0,BB,United Kingdom,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,112.67,0,3,Check-Out,2017-06-20
